Reef,Treatment,contain.pred,sublethal,lethal
2,Control,0,0,0
2,Control,1,0,0
2,Control,1,0,0
2,Control,1,1,0
2,Control,0,0,0
2,Control,1,0,0
2,Control,1,0,0
2,Control,1,0,0
2,Control,1,0,0
2,Control,1,0,0
2,Control,1,0,0
2,Control,1,0,0
2,Control,1,0,0
2,Control,0,0,0
2,Control,1,0,0
8,Control,0,0,0
8,Control,0,0,0
8,Control,0,0,0
8,Control,1,0,0
8,Control,1,0,0
8,Control,1,0,0
8,Control,1,1,0
8,Control,1,0,0
8,Control,0,0,0
8,Control,1,1,1
8,Control,1,0,0
8,Control,0,0,0
8,Control,1,0,1
8,Control,0,0,0
8,Control,1,0,1
12,Control,1,0,0
12,Control,0,0,0
12,Control,0,0,0
12,Control,1,0,0
12,Control,0,0,0
12,Control,1,0,0
12,Control,0,0,0
12,Control,1,0,0
12,Control,0,0,0
12,Control,1,0,0
12,Control,1,0,0
12,Control,1,0,1
19,Control,0,0,0
19,Control,1,1,0
19,Control,0,0,0
19,Control,1,0,0
19,Control,1,1,0
19,Control,1,0,1
19,Control,1,1,0
19,Control,1,0,0
19,Control,1,0,0
19,Control,1,0,0
19,Control,1,0,0
19,Control,0,0,0
3,High,1,0,0
3,High,1,0,0
3,High,1,0,0
3,High,1,1,0
3,High,1,0,0
3,High,1,0,0
4,High,0,0,0
4,High,0,0,0
5,High,1,1,0
5,High,1,0,0
5,High,1,1,0
5,High,1,1,0
5,High,1,0,0
5,High,1,0,0
6,High,0,0,0
6,High,0,0,0
6,High,1,1,0
6,High,1,0,0
6,High,1,0,0
6,High,1,0,1
6,High,1,0,0
6,High,1,0,0
6,High,1,1,0
6,High,1,0,0
6,High,1,0,0
6,High,1,0,0
7,High,0,0,0
7,High,1,0,0
7,High,1,0,0
7,High,1,0,0
7,High,1,0,0
7,High,1,0,0
7,High,1,0,0
7,High,1,0,0
7,High,1,0,0
7,High,1,0,0
7,High,1,0,0
7,High,0,0,0
7,High,0,0,0
7,High,0,0,0
7,High,1,0,1
9,High,0,0,0
9,High,1,0,0
9,High,0,0,0
9,High,0,0,0
9,High,0,0,0
9,High,0,0,0
9,High,1,0,0
9,High,0,0,0
9,High,1,1,0
9,High,1,1,0
9,High,0,0,0
9,High,0,1,0
9,High,0,0,0
9,High,1,0,1
9,High,1,1,0
9,High,0,0,0
9,High,0,0,0
9,High,0,0,0
9,High,0,0,0
9,High,1,0,1
9,High,0,0,0
9,High,1,0,1
9,High,1,1,0
9,High,0,0,0
9,High,0,0,0
9,High,0,0,0
9,High,0,0,0
9,High,0,0,0
9,High,0,0,0
9,High,0,0,0
9,High,0,0,0
10,High,1,0,0
10,High,0,0,0
10,High,1,0,0
10,High,0,0,0
10,High,1,0,0
10,High,0,0,0
10,High,1,0,0
10,High,0,0,0
10,High,0,0,0
10,High,0,0,0
10,High,0,0,0
10,High,1,0,0
10,High,1,1,0
10,High,1,0,0
10,High,1,0,0
10,High,1,0,0
10,High,1,0,0
10,High,1,0,0
10,High,1,0,1
11,High,0,0,0
11,High,1,0,0
11,High,0,0,0
11,High,1,1,0
12,High,1,1,1
12,High,1,0,0
12,High,1,1,1
12,High,1,1,0
12,High,0,0,0
12,High,1,0,0
12,High,0,0,0
12,High,1,0,0
12,High,1,0,0
12,High,0,0,0
12,High,0,0,0
12,High,1,0,0
12,High,1,0,0
14,High,1,1,0
14,High,0,0,0
14,High,0,0,0
14,High,0,0,0
15,High,1,0,0
15,High,0,0,0
15,High,0,0,0
15,High,0,0,0
15,High,0,0,0
15,High,1,0,0
15,High,1,0,0
15,High,0,0,0
15,High,1,0,0
15,High,1,1,0
15,High,1,1,0
15,High,1,0,0
15,High,1,0,0
15,High,1,0,0
15,High,0,0,0
15,High,1,0,0
15,High,0,0,0
15,High,0,0,0
15,High,0,0,0
15,High,1,1,0
15,High,0,0,0
15,High,0,0,0
15,High,0,0,0
15,High,0,0,0
15,High,0,0,0
15,High,0,0,0
15,High,0,0,0
15,High,0,0,0
15,High,0,0,0
15,High,0,0,0
15,High,0,0,0
17,High,0,0,0
17,High,0,0,0
17,High,0,0,0
17,High,0,0,0
17,High,0,0,0
17,High,1,0,1
17,High,0,0,0
17,High,0,0,0
17,High,0,0,0
17,High,0,0,0
17,High,1,0,1
17,High,0,0,0
17,High,1,0,0
17,High,0,0,0
17,High,0,0,0
17,High,1,0,1
17,High,1,1,0
17,High,0,0,0
17,High,1,0,1
17,High,1,1,0
17,High,1,0,0
17,High,0,0,0
17,High,1,0,1
17,High,0,0,0
17,High,0,0,0
17,High,1,0,0
18,High,0,0,0
18,High,0,0,0
18,High,0,0,0
18,High,1,0,0
18,High,1,0,0
18,High,1,0,0
18,High,0,0,0
18,High,1,0,0
18,High,1,0,0
18,High,1,1,0
18,High,1,1,0
18,High,1,0,0
18,High,1,0,0
18,High,1,1,1
18,High,1,0,0
18,High,0,0,0
18,High,1,1,0
18,High,0,0,0
18,High,0,0,0
18,High,0,0,0
18,High,0,0,0
18,High,0,0,0
18,High,0,0,0
18,High,0,0,0
18,High,0,0,0
18,High,1,0,0
18,High,0,0,0
18,High,1,0,1
19,High,0,0,0
19,High,1,0,1
19,High,1,0,1
19,High,1,0,0
19,High,1,1,0
19,High,0,0,0
19,High,0,0,0
19,High,0,0,0
19,High,0,0,0
19,High,0,0,0
1,Low,0,0,0
1,Low,0,0,0
2,Low,1,0,0
2,Low,1,0,0
2,Low,0,0,0
2,Low,1,0,0
2,Low,0,0,0
2,Low,1,0,0
3,Low,0,0,0
3,Low,0,0,0
4,Low,1,0,0
4,Low,1,0,0
4,Low,1,0,0
4,Low,0,0,0
4,Low,0,0,0
